Date,Open,High,Low,Close,Volume,Adj Close
5-Apr-18,92.440002,93.07,91.400002,92.379997,29771900,92.379997
4-Apr-18,87.849998,92.760002,87.730003,92.330002,35560000,92.330002
3-Apr-18,89.580002,90.050003,87.889999,89.709999,37213800,89.709999
2-Apr-18,90.470001,90.879997,87.510002,88.519997,48515400,88.519997
29-Mar-18,90.18,92.290001,88.400002,91.269997,45867500,91.269997
28-Mar-18,89.82,91.230003,88.870003,89.389999,52501100,89.389999
27-Mar-18,94.940002,95.139999,88.510002,89.470001,56569000,89.470001
26-Mar-18,90.610001,94,90.400002,93.779999,56396800,93.779999
23-Mar-18,89.5,90.459999,87.080002,87.18,44068900,87.18
22-Mar-18,91.269997,91.75,89.660004,89.790001,38604700,89.790001
21-Mar-18,92.93,94.050003,92.209999,92.480003,24457100,92.480003
20-Mar-18,93.050003,93.769997,93,93.129997,23075200,93.129997
19-Mar-18,93.739998,93.900002,92.110001,92.889999,33344100,92.889999
16-Mar-18,94.68,95.379997,93.919998,94.599998,49081300,94.599998
15-Mar-18,93.529999,94.580002,92.830002,94.18,27611000,94.18
14-Mar-18,95.120003,95.410004,93.5,93.849998,32132000,93.849998
13-Mar-18,97,97.239998,93.970001,94.410004,35387800,94.410004
12-Mar-18,96.5,97.209999,96.040001,96.769997,26073700,96.769997
9-Mar-18,95.290001,96.540001,95,96.540001,36937300,96.540001
8-Mar-18,94.269997,95.099998,93.769997,94.43,25887800,94.43
7-Mar-18,93.160004,93.940002,92.43,93.860001,26716100,93.860001
6-Mar-18,94.339996,94.489998,92.940002,93.32,22175800,93.32
5-Mar-18,92.339996,94.269997,92.260002,93.639999,23901600,93.639999
2-Mar-18,91.580002,93.150002,90.860001,93.050003,32830400,93.050003
1-Mar-18,93.989998,94.57,91.839996,92.849998,37135600,92.849998
28-Feb-18,94.839996,95.709999,93.629997,93.769997,31167300,93.769997
27-Feb-18,95.739998,95.839996,94.199997,94.199997,25869100,94.199997
26-Feb-18,94.400002,95.449997,94.25,95.419998,30199800,95.419998
23-Feb-18,93.599998,94.07,92.360001,94.059998,26329200,94.059998
22-Feb-18,92.050003,92.730003,91.360001,91.730003,24392800,91.730003
21-Feb-18,92.980003,93.360001,91.489998,91.489998,26922500,91.489998
20-Feb-18,91.480003,93.059998,91.010002,92.720001,30911700,92.720001
16-Feb-18,92.449997,93.5,91.800003,92,30596900,92
15-Feb-18,91.209999,92.720001,90.620003,92.660004,27823900,92.660004
14-Feb-18,88.510002,90.989998,88.410004,90.809998,34960900,90.809998
13-Feb-18,88.93,90,87.800003,89.830002,26407700,89.410004
12-Feb-18,88.739998,89.779999,87.93,89.129997,35720300,88.713272
9-Feb-18,86.300003,88.93,83.830002,88.18,63499100,87.767715
8-Feb-18,89.709999,89.879997,84.760002,85.010002,55628700,84.612534
7-Feb-18,90.489998,91.769997,89.199997,89.610001,41107600,89.191025
6-Feb-18,86.889999,91.480003,85.25,91.330002,67998600,90.902985
5-Feb-18,90.559998,93.239998,88,88,51031500,87.588554
2-Feb-18,93.639999,93.970001,91.5,91.779999,47867800,91.350883
1-Feb-18,94.790001,96.07,93.580002,94.260002,47227900,93.81929
31-Jan-18,93.75,95.400002,93.510002,95.010002,48756300,94.565781
30-Jan-18,93.300003,93.660004,92.099998,92.739998,38635100,92.306389
29-Jan-18,95.139999,95.449997,93.720001,93.919998,31569900,93.480873
26-Jan-18,93.120003,94.059998,92.580002,94.059998,29172200,93.620216
25-Jan-18,92.470001,93.239998,91.93,92.330002,26383200,91.898315
24-Jan-18,92.550003,93.43,91.580002,91.82,33277500,91.390694
23-Jan-18,91.900002,92.300003,91.540001,91.900002,23412800,91.470322
22-Jan-18,90,91.620003,89.739998,91.610001,23601600,91.181679
19-Jan-18,90.139999,90.610001,89.660004,90,36875000,89.579201
18-Jan-18,89.800003,90.669998,89.660004,90.099998,24159700,89.678734
17-Jan-18,89.080002,90.279999,88.75,90.139999,25621200,89.718552
16-Jan-18,90.099998,90.790001,88.010002,88.349998,36599700,87.93692
12-Jan-18,88.669998,89.779999,88.449997,89.599998,24271500,89.181076
11-Jan-18,88.129997,88.129997,87.239998,88.080002,17808900,87.668182
10-Jan-18,87.860001,88.190002,87.410004,87.82,18652200,87.409393
9-Jan-18,88.650002,88.730003,87.860001,88.220001,19484300,87.807526
8-Jan-18,88.199997,88.580002,87.599998,88.279999,22113000,87.867249
5-Jan-18,87.660004,88.410004,87.43,88.190002,23407100,87.777672
4-Jan-18,86.589996,87.660004,86.57,87.110001,21912000,86.702721
3-Jan-18,86.059998,86.510002,85.970001,86.349998,26061400,85.946266
2-Jan-18,86.129997,86.309998,85.5,85.949997,22483800,85.548134
